N k T mode chunk
1000 10 1.30198 11 1
1000 10 0.465948 11 2
1000 10 0.500482 11 3
1000 10 0.490185 11 4
1000 10 0.474366 11 5
1000 10 0.484862 11 6
1000 10 0.489666 11 7
1000 10 0.673994 11 8
1000 10 0.491691 11 9
1000 10 0.482787 11 10
1000 10 0.458373 12 1
1000 10 0.457334 12 2
1000 10 0.459808 12 3
1000 10 0.459264 12 4
1000 10 0.459287 12 5
1000 10 0.456049 12 6
1000 10 0.459943 12 7
1000 10 0.463161 12 8
1000 10 0.498453 12 9
1000 10 0.51003 12 10
1000 10 0.479723 13 1
1000 10 0.472205 13 2
1000 10 0.50889 13 3
1000 10 0.51111 13 4
1000 10 0.484624 13 5
1000 10 0.496397 13 6
1000 10 0.471125 13 7
1000 10 0.476165 13 8
1000 10 0.485677 13 9
1000 10 0.498253 13 10
